epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1592,1.33611,2.87021,1.64364,0.57454,0.85,0.87817,0.63489,1.64738,1.07188,1.38135,0,0,0
2,13.4984,1.20416,2.69498,1.511,0.56411,0.85,0.84861,0.63183,1.64515,1.06184,1.37184,7.973e-07,7.973e-07,7.973e-07
3,16.499,1.16513,3.63324,1.57424,0.55949,0.85,0.85065,0.63267,1.66725,1.06247,1.37796,8.092e-07,8.092e-07,8.092e-07
